,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cuadro No. 3.1.12
Defunciones en el año (t) masculinas, por  provincia y área de residencia habitual del fallecido/a, según causas de muerte
Lista especial de tabulación 103  (Décima Revisión CIE - 10)
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"094 Sintomas, signos y hallazgos anormales  clínicos yde laboratorio  no clasificados en otra parte"," 2,186 "," 1,264 ", 922 , 19 , 13 , 8 , 12 , 15 , 24 , 17 , 17 , 25 , 18 , 76 , 89 , 51 , 18 , 29 , 53 , 429 , 17 , 36 , 37 , 32 , 47 , 66 , 19 , 93 , 55 , 19 , 43 , 43 , 82 , 26 , 13 , 118 , 86 , 24 , 43 , 36 , 15 , 1 , - , 42 , 45 , 35 , 88 , 9 , 3 , 14 , 85 , 1 ,,
,096 Accidentes de transporte," 2,724 "," 1,994 ", 730 , 62 , 47 , 41 , 11 , 34 , 22 , 16 , 9 , 58 , 49 , 50 , 39 , 98 , 30 , 43 , 53 , 576 , 79 , 26 , 29 , 27 , 16 , 206 , 58 , 186 , 47 , 27 , 22 , 15 , 7 , 14 , 6 , 300 , 84 , 35 , 37 , 8 , 4 , 1 , - , 35 , 18 , 17 , 19 , 89 , 24 , 26 , 20 , 4 ,,
,097 Caidas, 246 , 188 , 58 , 11 , 8 , 1 , - , 4 , - , 2 , - , 2 , 2 , 7 , 5 , 4 , 1 , 4 , - , 31 , - , 6 , 5 , 8 , 3 , 6 , 1 , 4 , 2 , 5 , 1 , 2 , - , 2 , - , 74 , 20 , 4 , 3 , 2 , 1 , 1 , - , 3 , 1 , 1 , 3 , 3 , 2 , 1 , - , - ,,
,098 Ahogamiento y sumersión accidentales, 275 , 197 , 78 , 8 , 8 , 2 , - , 2 , 3 , 2 , - , 4 , 3 , 6 , 1 , 11 , - , 3 , 5 , 52 , 12 , 8 , 3 , 11 , 5 , 16 , 7 , 19 , 4 , 6 , 1 , 1 , 1 , - , 1 , 30 , 11 , - , 2 , 3 , 5 , - , 1 , 4 , 3 , 1 , - , 5 , - , 2 , 2 , 1 ,,
,099 Exposición al humo  fuego y llamas, 59 , 51 , 8 , - , 2 , - , - , 1 , - , 1 , - , 1 , - , - , - , 1 , - , - , - , 19 , - , - , 1 , 2 , - , 3 , 1 , 2 , - , 1 , - , 2 , - , - , - , 11 , 2 , 3 , - , - , - , - , - , 1 , - , - , 1 , 2 , 1 , 1 , - , - ,,
,100 Envenenamiento accidental por  y expos a sustan nocivas, 153 , 96 , 57 , 8 , 8 , 3 , 6 , 4 , 3 , 1 , - , 1 , - , 1 , 2 , 4 , - , 5 , 3 , 15 , 2 , 3 , 7 , 8 , 4 , 9 , 2 , 13 , 6 , - , 5 , - , - , - , - , 15 , 5 , 2 , 2 , - , 1 , - , - , 1 , - , 2 , 1 , 1 , - , - , - , - ,,
,101 Lesiones autoinfligidas intencionalmente, 703 , 500 , 203 , 33 , 41 , 7 , 6 , 4 , 5 , 10 , 3 , 19 , 12 , 22 , 11 , 35 , 9 , 9 , 9 , 66 , 4 , 16 , 6 , 32 , 5 , 43 , 8 , 17 , 4 , 4 , 3 , 7 , 3 , 1 , 2 , 126 , 46 , - , 2 , 2 , 2 , - , 3 , 10 , 4 , 12 , 7 , 20 , 6 , 5 , 2 , - ,,
,102 Agresiones," 1,205 ", 995 , 210 , 18 , 29 , 1 , 1 , 25 , 3 , 3 , 1 , 10 , 15 , 6 , 2 , 118 , 25 , 80 , 28 , 322 , 12 , 7 , 5 , 7 , 1 , 129 , 30 , 44 , 11 , 1 , - , 2 , 1 , 3 , - , 112 , 21 , 3 , - , 2 , 1 , - , - , 16 , 11 , 4 , 5 , 57 , 4 , 23 , 4 , 2 ,,
,103 Todas las demás causas externas," 2,656 "," 2,122 ", 534 , 48 , 52 , 18 , 10 , 17 , 10 , 20 , 6 , 48 , 41 , 45 , 17 , 73 , 12 , 24 , 15 , 975 , 30 , 30 , 20 , 51 , 24 , 68 , 24 , 248 , 54 , 7 , 4 , 7 , 4 , 8 , 5 , 227 , 75 , 89 , 83 , 8 , 13 , 3 , 1 , 21 , 8 , 15 , 11 , 35 , 6 , 35 , 9 , 2 ,,
,COVID-19 Confirmados y sospechosos," 12,681 "," 10,431 "," 2,250 ", 424 , 223 , 105 , 35 , 113 , 32 , 125 , 38 , 228 , 103 , 277 , 75 , 785 , 84 , 211 , 61 ," 2,498 ", 80 , 291 , 76 , 383 , 94 , 432 , 67 , 880 , 160 , 38 , 11 , 36 , 6 , 45 , 13 ," 2,457 ", 765 , 421 , 177 , 49 , 19 , 14 , - , 130 , 24 , 38 , 15 , 326 , 48 , 123 , 44 , 2 ,,
,"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
