,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.13
Defunciones oportunas femeninas, por  provincia y área de residencia habitual del fallecido/a, según causas de muerte
092 Ciertas afecciones originadas en el periodo perinatal, 664 , 571 , 93 , 10 , 3 , 3 , 4 , 2 , 2 , 4 , 3 , 19 , 5 , 11 , 6 , 39 , 2 , 15 , 2 , 198 , 9 , 19 , 4 , 9 , 5 , 30 , 5 , 44 , 5 , 3 , 7 , 1 , 1 , 3 , - , 107 , 12 , 6 , 7 , 3 , - , 1 , - , 11 , 2 , 5 , 1 , 16 , 1 , 12 , 7 , - ,,
093 Malformaciones congénitas  deformidades y anomal cromosom, 384 , 312 , 72 , 11 , 4 , 2 , 1 , 2 , 1 , 3 , 3 , 8 , 5 , 5 , 4 , 9 , - , 6 , 4 , 105 , 3 , 12 , - , 6 , 3 , 12 , 2 , 30 , 7 , 9 , 4 , 4 , 2 , 3 , - , 61 , 20 , 4 , 4 , 3 , - , 1 , - , 2 , - , 2 , 3 , 9 , 1 , 3 , 1 , - ,,
"094 Sintomas, signos y hallazgos anormales  clínicos yde laboratorio  no clasificados en otra parte"," 1,911 "," 1,125 ", 786 , 27 , 14 , 12 , 7 , 16 , 41 , 10 , 9 , 24 , 27 , 86 , 121 , 62 , 22 , 40 , 31 , 321 , 5 , 46 , 37 , 33 , 44 , 37 , 11 , 95 , 41 , 18 , 35 , 25 , 48 , 9 , 15 , 141 , 75 , 31 , 38 , 24 , 12 , - , - , 20 , 32 , 29 , 49 , 4 , 2 , 15 , 70 , - ,,
096 Accidentes de transporte, 562 , 409 , 153 , 18 , 12 , 2 , 2 , 10 , 7 , 1 , 1 , 11 , 13 , 12 , 12 , 15 , 4 , 10 , 12 , 114 , 9 , 7 , 5 , 11 , 4 , 29 , 5 , 27 , 2 , 16 , 7 , 3 , 1 , 2 , 2 , 67 , 35 , 12 , 13 , 4 , - , - , 1 , 10 , 2 , 2 , 2 , 21 , 2 , 2 , - , 3 ,,
097 Caidas, 61 , 45 , 16 , 2 , 5 , - , - , 1 , 1 , - , - , 1 , - , 1 , - , 1 , - , 1 , - , 6 , 1 , 3 , 1 , - , 2 , 1 , - , 2 , - , - , - , - , - , 1 , - , 23 , 6 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
098 Ahogamiento y sumersión accidentales, 54 , 33 , 21 , 2 , 2 , - , 1 , - , 1 , - , 2 , 1 , 3 , 1 , 1 , 2 , 1 , 2 , - , 7 , - , - , - , - , - , 4 , - , 2 , 2 , - , 1 , 1 , 1 , 1 , - , 5 , 4 , - , - , 1 , 1 , - , - , 1 , - , - , 1 , 1 , - , 1 , - , 1 ,,
099 Exposición al humo  fuego y llamas, 37 , 27 , 10 , - , 1 , 1 , - , 1 , 1 , 1 , - , 3 , - , 1 , 1 , - , 1 , - , - , 9 , - , - , - , 4 , - , 1 , 1 , 4 , - , 1 , - , - , - , - , - , 1 , 2 , - , - , - , 1 , - , - , - , - , - , 2 , - , - , - , - , - ,,
100 Envenenamiento accidental por  y expos a sustan nocivas, 52 , 35 , 17 , 2 , 2 , 1 , - , 1 , 3 , - , - , 2 , 2 , - , - , 3 , - , - , - , 4 , - , 1 , - , 1 , 2 , - , 2 , 2 , 1 , - , 1 , - , - , - , - , 10 , 1 , - , - , 1 , 1 , - , - , 3 , 1 , 1 , 1 , 2 , - , 1 , - , - ,,
101 Lesiones autoinfligidas intencionalmente, 177 , 120 , 57 , 14 , 8 , 5 , - , 1 , - , 1 , 1 , 4 , 2 , 2 , 4 , 8 , 4 , 3 , 1 , 16 , 1 , 5 , 3 , 4 , - , 5 , 2 , 3 , 3 , 1 , - , - , 1 , 3 , - , 34 , 14 , - , 3 , 1 , 1 , - , - , 3 , 1 , 2 , 6 , 5 , 1 , - , 1 , - ,,
102 Agresiones, 127 , 104 , 23 , 3 , 1 , 1 , 2 , 8 , - , 1 , 1 , 3 , 1 , 1 , 1 , 6 , 1 , 7 , 2 , 19 , - , 3 , 1 , - , 1 , 17 , 2 , 3 , - , - , 1 , - , - , 1 , - , 16 , 5 , - , 1 , - , 2 , - , - , 7 , 1 , 3 , - , 4 , - , 1 , - , - ,,
103 Todas las demás causasxternas, 763 , 565 , 198 , 28 , 19 , 5 , 8 , 6 , 2 , 8 , 3 , 15 , 8 , 19 , 9 , 23 , - , 7 , 5 , 159 , 7 , 19 , 9 , 21 , 6 , 27 , 7 , 55 , 15 , 6 , 3 , - , 6 , 5 , 2 , 102 , 40 , 26 , 32 , 2 , 2 , - , - , 3 , 6 , 10 , 4 , 12 , 4 , 6 , 1 , 1 ,,
COVID-19 Confirmados y sospechosos," 8,193 "," 6,736 "," 1,457 ", 310 , 146 , 68 , 19 , 67 , 41 , 74 , 33 , 141 , 57 , 176 , 44 , 553 , 50 , 119 , 47 ," 1,701 ", 75 , 134 , 45 , 235 , 69 , 297 , 49 , 646 , 123 , 28 , 7 , 16 , 3 , 18 , 7 ," 1,485 ", 427 , 249 , 114 , 38 , 9 , 4 , 1 , 51 , 13 , 33 , 7 , 217 , 36 , 75 , 35 , 1 ,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
